FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4261,Fresh surface water withdrawal,_T,Total,M3_YEAR,Cubic meters per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,9,Billions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.338,5.114,5.929,5.8552,5.7814,5.7076,5.6338,5.56,5.81,5.536,5.403,5.84,5.149,4.91,4.829,5.071,5.128,5.076,4.859,4.86,4.41982565,4.681348697,4.900964461,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4262,Fresh groundwater withdrawal,_T,Total,M3_YEAR,Cubic meters per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,9,Billions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7947,0.7194,0.6597,0.65612,0.65254,0.64896,0.64538,0.6418,0.6158,0.5843,0.5567,0.5447,0.5656,0.558,0.5468,0.5584,0.561,0.582,0.566,0.562,0.54917435,0.530651303,0.542469401,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4328,Percentage of the area equipped for irrigation actually irrigated,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.654618474,27.047861076,48.073476703,58.418910168,69.458787531,56.472310909,45.749944089,21.852956149,31.112501384,56.635485611,85.413781163,79.056043096,73.381101565,68.285861485,68.272804915,68.272804915,68.272804915,76.67768595,68.272804915,68.272804915,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4331,Percentage of the cultivated area equipped for irrigation,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.519932146,3.349886493,3.320440345,3.261617381,3.194257789,3.53235837,3.8223356,4.104776119,3.818325389,3.534910644,3.196458218,3.385738244,3.543899686,3.73577124,3.736311031,3.742659982,3.744722621,3.320526893,3.723669473,3.766711018,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4471,Dam capacity per capita,_T,Total,M3_POP,Cubic meters per person,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,285.328750907,283.160473695,306.618951819,313.832401009,311.601098984,366.022404009,410.737472507,410.474513222,415.132414513,449.123457935,521.516500235,552.736236964,612.482216325,609.334620224,608.708260937,634.674796306,632.200079982,630.189627333,666.731592513,665.194575906,663.76218584,666.089658343,722.198068627,721.173449267,721.41170736,725.394399074,734.768965011,745.463584304,757.369261094,765.649882898,774.440332487,779.939250313,786.164166767,793.272372669,800.963948512,807.986452245,814.747041442,822.152924682,829.108020753,835.220194124,841.14573588,847.090012411,853.160886217,859.166498833,865.014984888,870.511541717,876.41186356,883.249040484,890.855204049,897.282713432,902.394410205,908.169217851,914.550734528,921.245807444,927.919803495,934.474800189,940.110637223,947.824158727,954.95603194,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4541,Interannual variability (WRI),_T,Total,IX_0T5,Score 0-5,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4542,Seasonal variability (WRI),_T,Total,IX_0T5,Score 0-5,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,104.811885579,104.678838052,104.545790524,104.412742997,104.279695469,104.146647942,100.225540198,96.304432454,92.38332471,88.462216966,56.350555597,55.248724961,54.146894326,53.04506369,51.943233055,50.841402419,49.739571784,48.637741149,47.535910513,46.434079878,45.330031784,43.117747062,48.700569148,48.12861261,47.556656072,46.984699534,46.412742997,45.840786459,47.4905758,45.23837682,44.053514672,47.194914628,42.23963338,40.416882253,39.736861557,41.609875083,42.05041023,41.821272821,40.099046493,40.076871905,36.728509129,38.52465075,40.235300924,
A,Annual,BGR,Bulgaria,WB_EWSA_JMP_DW_BS,Basic and safely managed drinking water coverage (%),_T,Total,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14928340911865,9.587367057800291,9.02598476409912,8.465120315551758,7.904762744903564,7.344897747039795,6.785512924194336,6.226596355438232,5.668135643005371,5.110118865966797,4.552533626556396,3.995368719100952,3.438613414764404,2.882256984710693,2.37272572517395,2.502366781234741,2.631943225860596,2.761458396911621,2.89091420173645,3.020313501358032,3.149659633636475,3.278954982757568,3.408201456069946,
A,Annual,BGR,Bulgaria,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.31712410456625,91.74198362795744,92.16684315134864,92.59170267473984,93.01656219813106,93.44142172152226,93.86628124491348,94.29114076830469,94.71600029169588,95.14085981508708,95.56571933847827,95.9905788618695,96.4154383852607,96.8402979086519,97.26515743204313,97.69001695543432,97.98398178671738,97.87069775476157,97.75741372280572,97.64412969084988,97.53084565889404,97.4175616269382,97.30427759498238,
