REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BLR,Belarus,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,5795.034146163,5826.083850327,5864.21159777,5906.249158436,5947.556114267,5988.929479373,6026.205563759,6054.50117655,6075.960206343,6090.033413142,6100.675689345,6112.279083074,6118.517911089,6117.627717101,6112.296504864,6102.8999526,6095.337393242,6097.438970323,6107.574964681,6136.452445832,6191.888220056,6258.53590254,6311.839539303
BLR,Belarus,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,24.060968971,24.044621162,24.027793343,24.010464058,23.992610553,23.974208675,25.16722408,26.406135866,27.693644489,29.032666498,30.426356589,31.041214751,31.66520979,32.298546896,32.972628899,29.99308915,29.476584022,30.85182534,29.906542056,27.025036819,27.614747931,27.789473684,27.227722772
BLR,Belarus,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,6.05471325,5.968358603,5.882003955,5.795649308,5.709294661,5.622940013,5.51878708,5.414634146,5.310481213,5.20632828,5.102175346,5.064820918,5.027466491,4.990112063,5.177982861,4.772577455,4.782465392,4.614370468,4.581410679,4.475939354,4.377059987,4.696769941,4.660514173
BLR,Belarus,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,45.71162603964058,45.71162603964058,45.71162603964058,45.71162603964058,47.9905819620617,50.26953788448282,52.54849380690393,54.82744972932505,57.10640565174708,59.3853615741682,61.66431749658932,63.94327341901044,66.22222934143156,68.50118526385268,70.7801411862747,73.05909710869582,75.33805303111694,77.61700895353806,79.89596487595918,82.1749207983803,84.45387672080233,86.73283264322345,89.01178856564457
BLR,Belarus,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,93.75191862136164,93.75191862136164,93.75191862136164,93.75191862136164,94.0377363734795,94.32355412559748,94.60937187771545,94.8951896298334,95.18100738195136,95.4668251340692,95.75264288618718,96.03846063830514,96.3242783904231,96.61009614254108,96.89591389465892,97.18173164677688,97.46754939889485,97.7533671510128,98.03918490313076,98.32500265524862,98.6108204073666,98.89663815948455,99.18245591160252
BLR,Belarus,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),_T,Total,PT_POP,Percentage of population,79.32685818613554,79.55985547637475,79.79092991686484,80.01960115103356,81.09249810753215,82.14437979977919,83.17554364933333,84.1862840800977,85.17728519349727,86.14770524270965,87.11875253657799,88.07500407427683,89.00857519616541,89.91989666181172,90.80910824244118,91.6771863786628,92.52404254096764,93.35035092502702,94.1556283400934,94.94059140465116,95.70624301791338,96.45292935255306,97.18147885397032
CZE,Czechia,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,1284.580617154,1285.191776024,1284.246408114,1283.063021714,1281.495305244,1279.163841239,1276.130593479,1272.062423344,1267.067837367,1261.876876322,1256.685399084,1252.916604061,1251.506685568,1251.050906546,1250.329697203,1249.475505339,1248.58193375,1247.46925012,1246.571100008,1245.8697995,1246.430256919,1248.731919857,1232.056363908
CZE,Czechia,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,0.624848483,0.530367185,0.980083857,0.968274149,1.098094901,1.234647934,1.378470874,1.513458608,1.741214008,2.163245974,2.022474816,2.207174816,2.346550788,2.666666667,2.940106693,3.3875,2.896341463,2.858895706,3.144654088,2.855245684,2.855051244,2.742772424,3.042876902
CZE,Czechia,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,32.570863747,30.793491484,29.016119221,29.203163017,29.390206813,29.577250608,29.764294404,29.9513382,30.231143552,29.607664234,29.668491484,28.695255475,27.986618005,25.09580292,25.091240876,24.382603406,24.860097324,24.787104623,24.178832117,22.901459854,20.772506083,20.513990268,21.973844282
CZE,Czechia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,91.35444444444444,91.35444444444444,92.12222222222226,92.8900000000001,93.65777777777794,94.42555555555556,95.19333333333338,95.96111111111122,96.72888888888906,97.49666666666668,98.2644444444445,99.03222222222234,99.7853085210578,99.80145391228643,99.81759930351508,99.81759930351508,99.81759930351508,99.81759930351508,99.81759930351508,99.81759930351508,99.81759930351508,99.81759930351508,99.81759930351508
